Age BP RP G
5.05 -7.208428 -6.621887 -6.973017
5.05 -7.429148 -6.841454 -7.193358
5.1 7.641369 5.904253 6.762486
5.1 7.639843 5.902956 6.761108
5.1 7.566943 5.840956 6.695231
5.1 7.495031 5.779861 6.630273
5.1 7.423923 5.71949 6.566054
5.1 7.353684 5.659894 6.50263
5.1 7.284295 5.601045 6.439976
5.1 7.215694 5.542879 6.378028
5.1 7.147798 5.48531 6.316704
5.1 7.080815 5.428519 6.256191
5.1 7.014732 5.372497 6.196482
5.1 6.949416 5.317138 6.137459
5.1 6.885345 5.262845 6.079555
5.1 6.822528 5.20965 6.022792
5.1 6.76113 5.157703 5.967327
5.1 6.680173 5.092196 5.896036
5.1 6.595794 5.02413 5.821821
5.1 6.511364 4.955812 5.747383
5.1 6.42669 4.887053 5.67253
5.1 6.341939 4.818184 5.597527
5.1 6.256898 4.749056 5.522204
5.1 6.171695 4.679741 5.446659
5.1 6.086428 4.610284 5.370963
5.1 5.98274 4.526924 5.279527
5.1 5.869161 4.435764 5.179395
5.1 5.754461 4.343175 5.077896
5.1 5.639173 4.249454 4.97543
5.1 5.523252 4.154418 4.871878
5.1 5.40568 4.057722 4.766602
5.1 5.286643 3.959656 4.659855
5.1 5.166462 3.859999 4.551602
5.1 5.045504 3.759084 4.442169
5.1 4.935736 3.667552 4.342841
5.1 4.854475 3.600748 4.269829
5.1 4.687052 3.462733 4.119244
5.1 4.628103 3.413774 4.066043
5.1 4.582857 3.37616 4.025175
5.1 4.483075 3.292597 3.934686
5.1 4.379443 3.205377 3.840451
5.1 4.239031 3.087186 3.712532
5.1 4.142529 3.006058 3.624516
5.1 4.014811 2.898792 3.507786
5.1 3.882165 2.787721 3.386719
5.1 3.774666 2.697404 3.288584
5.1 3.689534 2.625627 3.210797
5.1 3.606097 2.555424 3.134679
5.1 3.532504 2.4935 3.067558
5.1 3.467638 2.438912 3.008395
5.1 3.403512 2.38509 2.949979
5.1 3.339171 2.330446 2.890991
5.1 3.274425 2.273588 2.830558
5.1 3.210018 2.217289 2.770545
5.1 3.156835 2.170805 2.720964
5.1 3.10652 2.126859 2.674054
5.1 3.055287 2.08214 2.626285
5.1 3.003134 2.036709 2.577691
5.1 2.951468 1.991964 2.529673
5.1 2.893118 1.940896 2.475145
5.1 2.832711 1.887917 2.418623
5.1 2.772206 1.834975 2.362062
5.1 2.712231 1.782668 2.306076
5.1 2.65259 1.730801 2.250473
5.1 2.562738 1.651309 2.165994
5.1 2.523143 1.615854 2.128539
5.1 2.483528 1.580508 2.091127
5.1 2.443948 1.545304 2.053801
5.1 2.383754 1.491356 1.996815
5.1 2.324484 1.438021 1.940583
5.1 2.233081 1.3554 1.853659
5.1 2.127931 1.259883 1.753397
5.1 2.039406 1.179086 1.668775
5.1 1.959929 1.106255 1.592639
5.1 1.868309 1.021984 1.504699
5.1 1.813776 0.971683 1.452277
5.1 1.73145 0.89554 1.373025
5.1 1.723929 0.888531 1.365758
5.1 1.716909 0.882061 1.359011
5.1 1.671136 0.839601 1.314879
5.1 1.596412 0.770004 1.242687
5.1 1.509063 0.688561 1.158241
5.1 1.41738 0.602798 1.069455
5.1 1.312427 0.504226 0.967607
5.1 1.19242 0.391241 0.850996
5.1 1.121223 0.323997 0.7817
5.1 1.020101 0.228348 0.683198
5.1 0.965146 0.176317 0.629637
5.1 0.712506 -0.063584 0.383008
5.1 0.675012 -0.099268 0.34636
5.1 0.398903 -0.362148 0.07636
5.1 0.267727 -0.48699 -0.051955
5.1 0.121523 -0.62601 -0.194948
5.1 -0.083796 -0.820675 -0.395507
5.1 -0.316554 -1.039557 -0.622075
5.1 -1.128492 -1.707487 -1.371606
5.1 -1.229643 -1.762464 -1.453564
5.1 -1.322727 -1.809029 -1.527632
5.1 -1.411222 -1.850949 -1.59768
5.1 -1.494872 -1.888467 -1.663573
5.1 -1.572426 -1.921109 -1.724174
5.1 -1.646956 -1.949894 -1.781245
5.1 -1.717265 -1.974297 -1.835213
5.1 -1.780278 -1.994162 -1.882732
5.1 -1.836159 -2.009639 -1.923885
5.1 -1.884347 -2.023015 -1.959551
5.1 -1.924834 -2.033463 -1.989522
5.1 -1.959072 -2.041008 -2.01425
5.1 -1.98747 -2.045811 -2.034086
5.1 -2.010546 -2.048242 -2.049454
5.1 -2.028684 -2.048275 -2.060587
5.1 -2.042345 -2.04586 -2.067809
5.1 -2.051578 -2.041238 -2.071344
5.1 -2.05768 -2.034848 -2.07222
5.1 -2.061844 -2.02697 -2.071302
5.1 -2.064064 -2.01762 -2.068595
5.1 -2.064647 -2.006736 -2.064262
5.1 -2.063886 -1.993711 -2.05823
5.1 -2.062133 -1.979745 -2.051231
5.1 -2.058963 -1.964639 -2.042911
5.1 -2.054579 -1.948477 -2.033435
5.1 -2.049292 -1.931431 -2.023073
5.1 -2.043135 -1.913609 -2.011885
5.1 -2.036092 -1.895033 -1.999868
5.1 -2.028511 -1.87616 -1.987416
5.1 -2.020445 -1.856962 -1.974538
5.1 -2.011855 -1.83732 -1.961177
5.1 -2.003038 -1.81784 -1.947766
5.1 -1.994085 -1.798651 -1.934417
5.1 -1.984761 -1.77915 -1.920731
5.1 -1.97522 -1.759495 -1.906859
5.1 -1.965443 -1.739304 -1.892625
5.1 -1.95549 -1.719001 -1.878249
5.1 -1.945488 -1.698723 -1.863853
5.1 -1.93542 -1.67845 -1.849424
5.1 -1.925341 -1.65824 -1.835013
5.1 -1.915353 -1.638211 -1.820722
5.1 -1.905442 -1.61834 -1.806537
5.1 -1.895643 -1.598672 -1.792494
5.1 -1.885992 -1.579246 -1.77863
5.1 -1.87649 -1.560055 -1.764945
5.1 -1.867143 -1.541095 -1.751442
5.1 -1.858058 -1.522481 -1.738223
5.1 -1.849403 -1.504409 -1.725455
5.1 -1.840596 -1.486293 -1.712581
5.1 -1.83174 -1.468229 -1.699703
5.1 -1.822981 -1.450341 -1.686956
5.1 -1.814489 -1.432793 -1.67451
5.1 -1.806458 -1.415767 -1.662556
5.1 -1.799182 -1.399253 -1.651256
5.1 -1.792972 -1.383686 -1.640976
5.1 -1.788444 -1.37044 -1.632665
5.1 -1.785409 -1.358938 -1.625966
5.1 -1.783675 -1.347099 -1.619887
5.1 -1.783643 -1.336613 -1.615403
5.1 -1.784651 -1.330124 -1.613236
5.1 -1.786438 -1.324521 -1.611898
5.1 -1.792014 -1.31732 -1.61206
5.1 -1.797623 -1.314123 -1.6139
5.1 -1.803809 -1.312684 -1.61677
5.1 -1.810906 -1.31259 -1.620667
5.1 -1.820838 -1.315411 -1.627344
5.1 -1.830806 -1.318467 -1.634117
5.1 -1.835126 -1.317076 -1.635786
5.1 -1.830067 -1.308768 -1.629223
5.1 -1.820493 -1.301867 -1.620914
5.1 -1.809939 -1.296957 -1.612995
5.1 -1.810227 -1.300353 -1.614726
5.1 -1.82562 -1.311982 -1.628392
5.1 -1.829827 -1.315297 -1.632198
